पतलून,trousers 
विपथगामी,aberrant 
पथभ्रष्ट,aberrant 
पथभ्रष्ट,deviant 
विपथगामी,deviant 
विपथगामी,deviate 
पथभ्रष्ट,deviate 
असामान्यता,aberration 
दृष्टि,विपथन aberration 
दृष्टि,विपथन distortion 
दृष्टि,विपथन optical aberration 
उकसाहट,abetment 
दुरुत्साहन,abetment 
उकसाहट,abettal 
दुरुत्साहन,abettal 
उकसाने,वाला abetter 
दुरुत्साहक,abetter 
अवप्रेरक,abetter 
अवप्रेरण,abetment 
उकसाने,वाला abettor 
दुरुत्साहक,abettor 
अवप्रेरक,abettor 
प्रसुप्तावस्था,abeyance 
स्थगन,abeyance
डिगना,aberrate 
विपथन,करना aberrate 
मतिभ्रंश,aberration 
बुद्धिभ्रंश,aberration 
अपसरित,होना aberrate 
उकसाना,abet 
अपराध,में सहायक होना abet
प्रसुप्त,abeyant 
प्रसुप्त,suspended 
आड़ा,abeam 
तिरधा,abeam 
बिस्तर,पर abed 
बिछौने,पर abed 
नफ़रत,abhorrence 
जुगुप्सा,loathing 
नफ़रत,abomination 
नफ़रत,detestation 
घृणा,execration 
नफ़रत,execration 
घृणा,loathing 
नफ़रत,odium 
घृणित,वस्तु abhorrence 
घृणा,करने वाला abhorrer 
घृणा,करना loathe 
घृणा,करना execrate 
का,विरोधी abhorrent 
घिनौना,abhorrent 
घिनौना,detestable 
घिनौना,obscene 
घृणित,obscene 
घिनौना,repugnant 
घिनौना,repulsive 
अनुरूपता,abidance 
अनुकूलता,abidance 
अनुकूलता,conformity 
अनुरूपता,conformation 
अनुकूलता,conformation 
अनुरूपता,compliance 
अनुकूलता,compliance 
अनुपालन,abidance 
अनुपालन,conformity 
अनुपालन,conformation 
निवास,abidance 
निवास,residency 
पालनअ,abidance 
अबिजान,Abidjan
परिहार,abience
टाल-मटोल,abience
प्रायश्चित,करना aby 
क्षतिपूर्ति,करना aby 
प्रायश्चित,करना expiate 
क्षतिपूर्ति,करना expiate 
क्षतिपूर्ति,करना atone 
प्रायश्चित,करना abye 
क्षतिपूर्ति,करना abye 
अबीज़,अल्बा Abies alba
यूरोपीय,रजत देवदार European silver fir
क्रिसमस,वृक्ष Christmas tree
देवदार,Abies
एबीज़,अमाबिलीज़ Abies amabilis
अमाबिलीज़,देवदार amabilis fir
श्वेत,देवदार white fir
प्रशांत,रजत देवदार Pacific silver fir
रक्त,रजत देवदार red silver fir
क्रिसमस,वृक्ष Christmas tree
मोखा,balsam
एबीज़,बल्सामिया Abies balsamea 
गुलमेंहदी,देवदार balsam fir 
मोखा,देवदार balsam fir 
गिलियड,का मलहम balm of Gilead 
कनाडा,गुलमेंहदी Canada balsam 
कनाडा,मोखा Canada balsam 
प्रतिभा,ability 
सामर्थ्य,ability
अजीवात्,जनन abiogenesis 
अजीवात्,जीवोत्पत्ति abiogenesis 
अजीवात्,जनन autogenesis 
अजीवात्,जीवोत्पत्ति autogenesis 
अजीवात्,जनन autogeny 
अजीवात्,जीवोत्पत्ति autogeny 
अजीवात्,जनन spontaneous generation 
अजीवात्,जीवोत्पत्ति spontaneous generation 
अजीवात्,जननवादी abiogenist 
अजीवात्,जीवोत्पत्तिवादी abiogenist 
अजीवीपोषण,abiotrophy 
हमुराबी,Hammurabi 
हमुरापी,Hammurapi 
पंजाबी,Punjabi 
पंजाबी,Panjabi 
पंजाबी,Punjabi
पंजाबी,Panjabi
पंजाबी,Panjabi 
पंजाबी,Punjabi 
रहना,bide 
रहना,stay 
सहन,करना abide 
सहन,करना digest 
सहना,digest 
सहन,करना endure 
सहना,stick out 
सहन,करना stick out 
सहना,stomach 
सहन,करना stomach 
सहन,करना bear 
सहना,stand 
सहन,करना stand 
सहन,करना suffer 
सहना,put up 
सहन,करना put up 
स्थायी,imperishable
अजीवात्,जनिक abiogenetic 
दुर्दशा,abasement 
दुर्दशा,abjection 
दुर्दशा,degradation 
त्याजक,abjurer 
शपथपूर्वक,त्याग abjuration 
अस्वीकार,करना abjure 
अस्वीकार,करना recant 
अस्वीकार,करना forswear 
अस्वीकार,करना retract 
अस्वीकार,करना resile 
अधम,abject 
नीचतापूर्ण,low 
अधम,low 
अधम,low-down 
अधम,miserable 
नीचतापूर्ण,miserable 
नीच,scummy 
अधम,scurvy 
नीचतापूर्ण,scurvy 
दुग्ध-स्रवण,विराम ablactation 
अपस्तनन,ablactation 
अपस्तनन,weaning 
अंशोच्छेदन,ablation 
अपक्षरण,ablation 
अपादान,ablative 
अपादान,कारक ablative case 
अपादान,संबंधी ablative 
अपादानी,ablative 
अपक्षरणीय,ablative 
पंचमी,ablative 
पंचमी,विभक्ति ablative case 
निरपेक्ष,अपादान ablative absolut 
अपश्रुति,ablaut 
समर्थांग,नाविक able-bodied seaman 
समर्थांग,नाविक able seaman 
सहजवर्त्महीनता,ablepharia 
ए,बी एल एस ABLS 
कला-स्नातक,पुस्तकालय विज्ञान Bachelor of Arts in Library Science 
अपमार्जन,ablution
अपमार्जन,जल ablution
प्रक्षालन,जल ablution
अंशोच्छेदन,करना ablate 
अपक्षरण,करना ablate 
अपक्षरित,होना ablate 
अपक्षारित,ablated 
प्रज्ज्वलित,afire 
प्रज्ज्वलित,aflare 
प्रज्ज्वलित,alight 
जलता,हुआ blazing 
धधकता,हुआ blazing 
धधकता,हुआ burning 
जलता,हुआ burning
दहकता,हुआ flaming 
जलता,हुआ on fire 
समर्थांग,able-bodied 
हृष्ट-पुष्ट,able
तगड़ा,able
खिला,हुआ abloom 
खिला,हुआ efflorescent 
खिला,हुआ flowering 
प्रक्षालन,ablutionary 
अपमार्जन,ablutionary 
प्रोक्षण,ablutionary 
प्रक्षालन,cleansing 
प्रोक्षण,cleansing 
अपमार्जन,cleansing 
कुशलतापूर्वक,competently 
कुशलतापूर्वक,aptly 
सक्षमता,से capably 
कुशलतापूर्वक,with competence 
ऐब्नाकी,Abnaki  
ऐब्नाकी,Abnaki
आत्मनिषेध,self-abnegation 
आत्मत्याग,self-abnegation 
निषेध,denial 
अस्वीकरण,denial 
आत्मनिषेध,self-denial 
आत्मनिषेध,self-renunciation 
आत्मत्याग,self-renunciation 
आत्मनिषेधी,abnegator 
आत्मनिषेधक,abnegator 
ऐब्नी,साधनी Abney level 
अपसामान्यता,abnormality 
असामान्यता,abnormalcy 
अपसामान्यता,abnormalcy 
असामान्यता,abnormal condition 
अपसामान्यता,abnormal condition 
असामान्य,मनोविज्ञान abnormal psychology 
असामान्य,मनोविज्ञान psychopathology 
न्यूनमनस्कता,abnormality 
न्यूनमनस्कता,mental defectiveness 
सनकीपन,abnormality 
सनकीपन,freakishness 
अनियमितता,abnormality 
अनियमितता,irregularity
आत्मनिषेध,करना abnegate 
त्यागना,abnegate 
छोड़,देना abnegate 
नकारना,abnegate 
असाधारण,abnormal 
अस्वाभाविक,ढंग से abnormally 
असाधारण,रूप से abnormally 
मूल,निवासी Aborigine 
आदिम,वनस्पति तथा प्राणी aborigines 
मूल,निवासी autochthon 
ऑस्ट्रेलियाई,आदिवासी Abo 
ऑस्ट्रेलियाई,आदिवासी Aboriginal 
मूल,ऑस्ट्रेलियाई Australian Aborigine 
रक्तवर्गीय,रोग-प्रतिकारक ABO antibodies 
ए,बी ओ रक्तवर्गीय प्रणाली ABO blood group system 
एबीओ,प्रणाली ABO system 
ए,बी ओ समूह ABO group 
एबौक्लूज़न,abocclusion 
डेरा,abode 
एबौम,abohm 
समापनअ,abolition 
उन्मूलन,abolishment 
समापनअ,abolishment 
दासता,उन्मूलन आंदोलन abolitionism 
दासता-विरोधी,abolitionist 
दासता-विरोधी,emancipationist 
चतुर्थ,आमाशय abomasum 
चतुर्थ,आमाशय fourth stomach 
जुगुप्सा,abomination 
घृणित,व्यक्ति abomination 
जुगुप्सा,abhorrence 
जुगुप्सा,detestation 
जुगुप्सा,execration 
जुगुप्सा,odium 
जुगुप्साजनक,कार्य abomination 
घृणा,करने वाला abominator 
जुगुप्सक,abominator 
घृणा,करने वाला loather 
जुगुप्सक,loather 
एबौर,Abor 
मिरी,Miri 
मिरीश,Mirish 
डप़ला,Dafla 
ऑस्ट्रेलियाई,आदिवासियों का Aboriginal 
आदिवासी,native 
आदिम,aboriginal 
आदिकालीन,aboriginal 
आदिकालीन,primal 
आदिकालीन,primeval 
आदिम,primeval
आदिकालीन,primaeval 
आदिम,primaeval
आदिकालीन,primordial 
आदियुगीन,primordial 
आदि,ऑस्ट्रेलियाई Aboriginal Australian
ऑस्ट्रेलियाई,Australian
समापन,abort 
अवर्धित,होना abort 
गर्भ,गिराना abort 
गर्भनाशक,aborticide 
गर्भनाशक,abortifacient 
गर्भनाशक,दवा abortifacient 
गर्भनाशक,दवा aborticide 
गर्भनाशक,दवा abortion-inducing drug 
गर्भनाशक,abortion-inducing drug 
गर्भपात,aborticide 
गर्भपात,feticide 
विफल,योजना miscarriage 
गर्भनाशक,गोली abortion pill 
माइफ़प्रिस्टोन,mifepristone
आर,यू चार सौ छियासीई RU 486
निष्कासित,भ्रूण abortus 
संकल्प-अक्षमता,aboulia 
संकल्प-अक्षमता,abulia 
पूरा,पलटना about-face 
पूरा,पलटना about turn 
पूरा,पलटना about-face 
मत-परिवर्तन,करना about-face 
उपर्युक्त,supra 
और,ऊपर higher up 
और,ऊपर in a higher place 
और,ऊपर to a higher place 
मलाबो,Malabo
इक्वेटोरियल,गिनी Equatorial Guinea 
भूमध्यवर्ती,गिनी Equatorial Guinea 
इक्वेटोरियल,गिनी गणतंत्र Republic of Equitorial Guinea 
स्पेनी,गिनी Spanish Guinea 
मिटा,देना get rid of 
फटा,पड़ना abound 
फटा,पड़ना burst 
फटा,पड़ना bristle 
परिपूर्ण,होना abound in 
प्रचुर,मात्रा में होना abound in 
उन्मूलनीय,abolishable 
मिटा,देने योग्य abolishable 
उन्मूलक,abolisher 
समापनकर्ता,abolisher 
उन्मूलनवादी,abolitionary 
चतुर्थ,आमाशय संबंधी abomasal 
निन्द्य,detestable 
घृणास्पद,execrable 
घिनौना,execrable 
घिनौना,odious 
नृशंस,atrocious 
नृशंस,abominable 
नृशंस,awful 
भद्दा,awful 
भद्दा,dreadful 
भद्दा,painful 
भद्दा,terrible 
भद्दा,unspeakable 
भद्दा,atrocious 
घटिया,atrocious 
भद्दा,abominable 
घटिया,abominable 
अपमुखी,aboral 
गर्भनाशक,abortifacient 
गर्भनाशी,abortifacient 
निष्फल,abortive 
अपूर्ण,रूप से विकसित abortive
अधूरा,abortive 
इच्छादौर्बल्य,aboulia 
इच्छादौर्बल्य,abulia 
संकल्प-अक्षमताग्रस्त,aboulic 
इच्छादौर्बल्यग्रस्त,aboulic 
इच्छादौर्बल्यग्रस्त,abulic 
संकल्प-अक्षमताग्रस्त,abulic 
भरपूर,abounding 
प्रचुर,abounding 
भरपूर,galore 
प्रचुर,galore 
चारौं,तरफ़ about 
चलता-फिरता,about 
फैला,हुआ about 
लगभग,close to 
करीब,close to 
बेदर्दी,से roughly 
जहाँ-तहाँ,about 
जहाँ-तहाँ,around 
यहाँ-वहाँ,about 
यहाँ-वहाँ,around 
उपर्युक्त,above-named 
ऊपर,उल्लिखित above-named 
ऊपर,उल्लिखित above-mentioned 
सच्चा,aboveboard 
निष्कपट,aboveboard 
खुल्लमखुल्ला,aboveboard 
सच्चा,straightforward 
साफ़,straightforward 
ईमानदारी,से aboveboard 
भू-सतह,का aboveground 
भूमि,के ऊपर का surface 
भू-सतह,का surface 
सवार,onboard 
के,पास aboard 
के,पास alongside 
समूह,में aboard 
दल,में aboard 
अविरत,प्रयास से सिखाना inculcate 
मन,में बिठाना inculcate 
अंतर्निविष्ट,करना inculcate 
अविरत,प्रयास से सिखाना instill 
बूँद-बूँद,डालना instill 
सबसे,पहले above all 
सबसे,पहले first and last 
जन्मजात,बाहुहीनता abrachia 
अपघर्षक,abrasive material 
अपघर्षी,यंत्र abradant 
अपघर्षी,यंत्र abrader 
अपघर्षी,प्रस्तर abrading stone 
अब्राहम,Abraham 
इब्राहिम,Ibrahim 
स्वर्ग,Abraham's bosom 
स्वर्ग,bosom of Abraham 
लिंकन,Lincoln 
अब्राहम,लिंकन Abraham Lincoln 
राष्ट्रपति,लिंकन President Lincoln 
राष्ट्रपति,अब्राहम लिंकन President Abraham Lincoln 
स्टोकर,Stoker 
ब्रैम,स्टोकर Bram Stoker 
अब्राहम,स्टोकर Abraham Stoker 
घिसाई,abrasion 
घिसाई,grinding 
संनिघर्षण,attrition 
घिसाई,attrition 
घिसाई,detrition 
संनिघर्षण,detrition 
अपघर्षण,attrition 
अपघर्षण,corrasion 
अपघर्षण,detrition 
कठोर,abrasive 
सख्त,abrasive 
खुरदरापन,abrasiveness 
खुरदरापन,harshness 
खुरदरापन,scratchiness 
भाव-विरेचन,katharsis 
भाव-विरेचन,abreaction 
संक्षेपण,capsule
संक्षेपक,abridger 
संक्षेपकार,abridger 
एब्रोकोम,abrocome
चिंचिला,chinchilla rat
चिंचिला,rat chinchilla
निराकर्ता,abrogator 
अवखंडन,abruption 
अवखंडन,breaking off 
पक्षाकार,पर्ण abruptly-pinnate leaf 
पक्षाकार,पर्ण even-pinnate leaf 
रुखाई,abruptness 
रूखापन,abruptness 
दुरारोहता,abruptness 
दुरारोहता,precipitousness 
दुरारोहता,steepness 
उतावलापन,abruptness 
हड़बड़ी,abruptness 
उतावलापन,precipitateness 
हड़बड़ी,precipitateness 
उतावलापन,precipitousness 
हड़बड़ी,precipitousness 
उतावलापन,precipitance 
हड़बड़ी,precipitance 
उतावलापन,precipitancy 
हड़बड़ी,precipitancy 
उतावलापन,suddenness 
हड़बड़ी,suddenness 
अब्रूज़ी,Abruzzi
अब्रूज़ी,एमोलीज़े Abruzzi e Molise
घिसना,abrade 
घिस,जाना corrade 
घिस,जाना abrase 
घिसना,corrade 
रगड़,कर साफ़ करना abrase 
घिसना,abrase 
घिसना,scour 
घिस,जाना rub down 
भाव-विरेचन,करना abreact 
घटाना,abridge 
निरस्त,करना abrogate 
गलफ़ड़ारहित,abranchiate 
गलफ़ड़ारहित,abranchial 
गलफ़ड़ारहित,abranchious 
गलफ़ड़ारहित,gill-less 
अपघर्षी,abrasive 
अपघर्षी,scratchy 
के,प्रति सचेत abreast 
के,प्रति होशियार abreast 
के,प्रति सचेत au courant 
के,प्रति होशियार au courant 
के,प्रति सचेत au fait 
के,प्रति सजग au fait 
के,प्रति सचेत up on 
के,प्रति सजग up on 
अक्लोम,abranchiate 
अक्लोम,abranchial 
अक्लोम,abranchious 
अक्लोम,gill-less 
साथ-साथ,abreast 
अगल-बगल,में abreast 
संक्षिप्त,abridged 
खुला,abroach 
उत्तेजित,abroach 
सक्रिय,abroach 
खुला,broached 
विदेशी,abroad 
बाहरी,overseas 
बाहरी,abroad 
असंगत,abrupt 
खड़ा,abrupt 
दुरारोह,abrupt 
रूखेपन,से abruptly 
अशिष्टता,से abruptly 
अकस्मात्,suddenly 
अचानक,ही short 
अचानक,ही dead 
अचानक,dead 
ऐब्स,ABS 
कला,स्नातक Bachelor of Arts 
कला,स्नातक Bachelor of Arts
कला,स्नातक Artium Baccalaurens 
कला,स्नातक AB
ऑव,Av 
ऑब,Ab
संक्रमित,दाँत abscessed tooth 
भुज,abscissa 
विगलन,abscission 
अपच्छेदन,abscission 
अपच्छेदन,cutting off  
फ़रारी,absconder 
पलायनकर्ता,absconder 
पलायन,abscondment 
फ़रार,होना abscondment 
पलायन,decampment 
फ़रार,होना decampment 
रज्जु-आरोहण,abseil 
रज्जु-आरोहण,करना abseil
रज्जु-आरोहण,करना rope down 
रज्जु-आरोहणकर्ता,abseiler 
दोहरी,रस्सी के सहारे उतरने वाला abseiler 
गैरहाजिरी,absence 
मृदु,अपस्मार absence
मृदु,अपस्मार petit mal epilepsy 
अनधिकृत,अवकाश absence without leave 
अनधिकृत,अवकाश unauthorized absence 
गैरहाजिर,absentee
अदेशस्थ,मत absentee ballot
अनुपस्थित,मत absentee ballot 
अनुपस्थित,दर absentee rate 
अनुपस्थिति,absenteeism 
अनुपस्थिति,दर absenteeism rate 
अन्यमनस्कता,absentmindedness 
अफ़संतीन,absinth
चिरायता,absinth 
चिरायता,absinthe 
परिशुद्ध,अल्कोहल absolute alcohol 
उच्चतम,उड़ान-सीमा absolute ceiling 
पूर्णावृत्ति,absolute frequency 
चरम,परिमाण absolute magnitude
सहापराधिता,complicity
पूर्ण,बहुमत majority 
परम,स्वरमान absolute pitch 
परम,स्वरमान perfect pitch 
परिशुद्ध,माप absolute scale 
केल्विन,माप Kelvin scale 
अबाध,रिक्तस्थान absolute space 
परिशुद्ध,तापमान absolute temperature 
न्यूनतम,संगुटिका absolute threshold 
परम,मान absolute value 
गाढ़ेपन,का माप absolute viscosity 
गाढ़ेपन,का गुणांक coefficient of viscosity 
गाढ़ेपन,का गतिविधिक माप dynamic viscosity 
सुनिश्चितता,absoluteness 
दृढ़ता,absoluteness 
निर्मुक्ति,absolution 
तानाशाही,absolutism
निरंकुशता,tyranny 
निरंकुशता,despotism 
निरंकुशता,dictatorship 
तानाशाही,authoritarianism 
सत्तावाद,authoritarianism 
एकतंत्र,Caesarism 
निरंकुशता,Caesarism 
स्वेच्छाचारिता,despotism 
तानाशाही,monocracy 
तानाशाही,one-man rule 
निरंकुशता,shogunate 
सर्वसत्तावाद,totalitarianism 
पापमुक्ति,absolution
पापमुक्ति,remission 
पापमुक्ति,remittal 
पापमुक्ति,remission of sin 
निरंकुशतावाद,absolutism
स्वेच्छाचारितावाद,absolutism
निरंकुशतावाद,totalitarianism 
स्वेच्छाचारितावाद,totalitarianism 
निरंकुशतावाद,totalism 
स्वेच्छाचारितावाद,totalism 
परम,तत्ववाद absolutism
निरंकुशतावादी,absolutist 
स्वेच्छाचारितावादी,absolutist 
परम,तत्ववादी absolutist 
निरंकुशतावादी,absolutist 
स्वेच्छाचारितावादी,absolutist 
स्वेच्छाचारितावादी,absolutistic 
क्षमादाता,absolver 
मुक्तिदाता,absolver 
अवशोष्य,पदार्थ absorbate 
अवशोषक,पदार्थ absorbent material 
अवशोषक,पदार्थ absorbent 
अवशोषी,absorbent material 
अवशोषी,absorbent 
अवशोषक,absorptive 
अवशोषक,सूत absorbent cotton 
अवशोषी,सूत absorbent cotton 
अवशोषक,absorber
अवशोषी,absorber
अवशोषण,दर absorptance 
अवशोषण,दर absorption coefficient 
अवशोषण,दर coefficient of absorption 
अवशोषणअ,soaking up
आत्मसात्करण,absorption
समावेश,absorption
परिपाक,assimilation
डाकू,dacoit 
डकैत,dacoit 
डकैत,dakoit 
डाकू,dakoit 
तन्मयता,absorption
तन्मयता,concentration
तन्मयता,immersion
अन्यचित्तता,preoccupancy 
अन्यमनस्कता,preoccupation 
अन्यचित्तता,preoccupation 
अन्यमनस्कता,preoccupancy 
अन्यमनस्कता,engrossment 
अन्यचित्तता,absorption 
अन्यमनस्कता,absorption 
अन्यचित्तता,engrossment 
अवशोषण,वर्णक्रम absorption band 
अवशोषकता,absorptivity
अवशोषकता,absorption factor
अवशोषण,सूचक absorption indicator 
अवशोषण,संकेतक absorption indicator 
अवशोषण,इकाई absorption unit 
संन्यासी,abstainer 
मद्य-त्यागी,abstinent
संयमी,abstinent
मद्य-त्यागी,abstainer
मद्य-त्यागी,nondrinker
संयमितता,abstemiousness 
मिताहारिता,abstemiousness 
संयमी,abstinent
संयमी,abstentious 
सारांश,outline 
सारांश,precis 
अमूर्तवाद,abstract art 
अयथार्थवाद,abstract art 
अमूर्तवादी,abstractionist 
अयथार्थवादी,abstractionist 
अमूर्तवादी,abstract artist 
अयथार्थवादी,abstract artist 
अमूर्त,सत्ता abstract entity 
अमूर्त,तत्व abstract entity 
अमूर्त,अभिव्यंजनावाद Abstract Expressionism 
छुईमुई,touch-me-not
तर्कसंगत,विचार abstract thought 
तर्कसंगत,विचार reasoning 
तर्कसंगत,विचार logical thinking 
अन्यमनस्कता,abstractedness 
शून्यमनस्कता,abstractedness 
शून्यमनस्कता,abstraction
संक्षेपकार,abstractor 
संक्षेपकर्ता,abstractor 
संक्षेपकार,abstracter 
संक्षेपकर्ता,abstracter 
जटिलता,abstruseness
गूड़ता,abstruseness
गहनता,reconditeness
जटिलता,reconditeness
गहनता,abstrusity 
गहराई,profoundness
गहनता,profundity
विसंगति,absurd
विसंगति,the absurd
बेतुका,cockeyed 
बेतुका,derisory 
अमूर्त,अभिव्यंजनावाद action painting
सबूत,proof 
बेतुका,idiotic 
उपहासपूर्ण,idiotic 
उपहासपूर्ण,laughable 
बेतुका,laughable 
उपहासपूर्ण,ludicrous 
बेतुका,ludicrous 
मूर्खतापूर्ण,nonsensical 
बेतुका,nonsensical 
बेतुका,preposterous 
मूर्खतापूर्ण,preposterous 
मूर्खतापूर्ण,ridiculous 
असंगति,absurdity
असंगति,absurdness
बेवकूफ़ी,absurdity
बेवकूफ़ी,fatuity
बेवकूफ़ी,fatuousness
बेवकूफ़ी,silliness
यूका,louse 
जघन,यूका crabs 
यूकाग्रस्तता,crabs 
यूकाग्रस्तता,pediculosis pubis 
लिब्रिटैब्स,Libritabs
लिब्रियम,Librium 
क्लोर्डाइज़ीपौक्साइड,chlordiazepoxide 
कल्पना,abstraction
कल्पना,abstract
ख़याल,abstract
ख़याल,abstraction
संक्षेपण,abstraction
अबू,अली अल-हुसैन इब्न अब्दल्लाह इब्न सीना Abu Ali al-Husain ibn Abdallah ibn Sina 
ऐविसिना,Avicenna 
इब्न,सीना ibn-Sina 
अबू,हफ़्ज़ अल-मासरी पल्टन Abu Hafs al-Masri Brigades 
फ़तह,इंकलाबी काउंसिल Fatah Revolutionary Council 
फ़तह,आर-सी Fatah-RC 
अबू,निदाल जमात Abu Nidal Organization 
ए,एन ओ ANO
अरब,इंकलाबी पल्टन Arab Revolutionary Brigades 
ब्लैक,सेप्टेंबर Black September 
काला,सितंबर Black September 
सोशलिस्ट,मुस्लिम इंकलाबी जमात Revolutionary Organization of Socialist Muslims 
अबू,सैयाफ़ Abu Sayyaf 
ए,एस जी ASG
अबूजा,Abuja 
अबूकीर,Abukir
अबूकीर,खाड़ी Abukir Bay
बहुलता,abundance
प्रचुरता,copiousness
बहुलता,copiousness
प्रचुरता,teemingness
बहुलता,teemingness
अपप्रयोग,abuse
दुर्वचन,abuse
अपप्रयोग,करना abuse
दुर्वचन,कहना abuse
गाली,देना clapperclaw 
गाली,देना blackguard 
गाली,देना shout 
दुरुपयोग,करने वाला abuser
दुरुपयोगकर्ता,abuser
गाली,देने वाला abuser
दुर्वचनवक्ता,abuser
अत्याचारी,maltreater
दुर्व्यवहारी,maltreater
अबू,वलीद मोहम्मद इब्न-अहमद इब्न-मोहम्मद इब्न-रुश्द Abul-Walid Mohammed ibn-Ahmad Ibn-Mohammed ibn-Roshd 
इब्न-रुश्द,ibn-Roshd 
अवेरोईज़,Averroes 
पीलपाया,abutment 
आधार,abutment 
जोड़,abutment 
अन्त्याधारी,चाप abutment arch 
संसक्त,स्वामी abutter 
बाबू,babu 
बाबू,baboo 
नेबू,Nabu 
नेबो,Nebo 
मेथैंफ़ेटामीन,methamphetamine 
मेथैंफ़ेटामीन,क्लोराइड methamphetamine hydrochloride 
मेथिड्रीन,Methedrine
मेथ,meth
डीऑक्सीएफ़िड्रीन,deoxyephedrine 
चिकनफ़ीड,chicken feed
क्रैंक,crank
ग्लास,glass
आइस,ice
शैबू,shabu
ट्रैश,trash
निषिद्ध,taboo 
निषिद्ध,tabu 
निषेध,tabu 
वर्जना,tabu 
वर्जित,कर्म tabu 
वर्जित,forbidden 
निषिद्ध,forbidden 
वर्जित,out 
निषिद्ध,out 
निषिद्ध,proscribed 
निषिद्ध,verboten 
दुर्व्यवहार,करना maltreat 
दुर्व्यवहार,करना ill-use 
दुर्व्यवहार,करना step 
सीमा,पर होना border
लगा,हुआ होना edge
सीमा,पर होना edge
लगा,हुआ होना butt
लगा,हुआ होना butt against
लगा,हुआ होना butt on
सीमा,पर होना butt on
सीमा,पर होना butt against
अपप्रयुक्त,abused 
दुर्व्यवहारित,abused 
प्रताड़ित,abused 
दुर्व्यवहारित,ill-treated 
प्रताड़ित,ill-treated 
दुर्व्यवहारित,maltreated 
प्रताड़ित,maltreated 
दुर्व्यवहारित,mistreated 
प्रताड़ित,mistreated 
दुर्व्यवहारपूर्ण,abusive
अत्याचारपूर्ण,abusive
अनुचित,abusive
गलत,abusive
प्रताड़नापूर्ण,abusive
यौन-उत्पीड़न,संबंधी abusive
लगा,हुआ abutting 
जुड़ा,हुआ abutting 
लगा,हुआ adjacent 
लगा,हुआ adjoining 
लगा,हुआ conterminous 
लगा,हुआ contiguous 
प्रतिवेशी,neighboring 
पड़ोसी,neighbouring 
प्रतिवेशी,neighbouring 
निकटस्थ,neighboring 
गूँजता,हुआ abuzz 
गुंजायमान,abuzz 
गुंजायमान,buzzing 
गूँजता,हुआ buzzing 
गुंजायमान,droning 
गूँजता,हुआ droning 
प्रचुरतापूर्वक,abundantly
प्रचुरतापूर्वक,copiously
प्रचुरतापूर्वक,profusely
अपमानजनक,ढंग से abusively
अनुचित,ढंग से abusively
गलत,ढंग से abusively
ऐबवोल्ट,abvolt
अबाइडौस,Abydos
रसातल,abysm
अगाध,गर्त abysm
अतल,क्षेत्र abyssal zone 
समुद्रगर्भ,abyssal zone 
अबिसीनियाई,Abyssinian
अबिसीनियाई,बिल्ली Abyssinian cat
अथाह,abysmal
अगाध,abysmal
अथाह,abyssal
अथाह,unfathomable
शिक्षा-जगत,academe
शिक्षक,academician
पण्डिताऊ,academic
पण्डिताऊ,donnish 
शिक्षक,faculty member
अकादमी,का academic
शैक्षिक,प्रशासक academic administrator 
शैक्षिक,परिधान academic costume 
शैक्षिक,उपाधि academic degree 
शैक्षिक,उपाधि degree 
शैक्षिक,विभाग academic department 
शैक्षिक,स्वतंत्रता academic freedom 
शैक्षिक,गाउन academic gown 
शैक्षिक,चोगा academic gown 
शैक्षिक,चोगा academic robe 
जज,का चोगा judge's robe 
शैक्षिक,कार्यक्रम academic program
शैक्षिक,संबंध academic relation 
शैक्षिक,आवश्यकता academic requirement 
शैक्षिक,सत्र academic session 
शालेय,सत्र school term 
शैक्षिक,सत्र academic term 
शैक्षिक,सत्र session
अकादमिक,वर्ष academic year 
शैक्षिक,वर्ष academic year 
शालीय,वर्ष school year 
अकादमिक,वर्ष school year 
अकादमी,सदस्यता academicianship 
सैद्धांतिक,शिक्षावाद academicism 
शास्त्रीयता,academicism 
सैद्धांतिक,शिक्षावाद academism 
शास्त्रीयता,academism 
सैद्धांतिक,शिक्षावाद scholasticis 
शास्त्रीयता,scholasticis 
शास्त्रीय,रूढ़िवादिता scholasticis 
अकादम,academy
प्रशिक्षण,शाला academy
अकेडिया,Acadia 
अकेडिया,राष्ट्रीय उद्यान Acadia National Park 
अकेडियाई,Acadian 
अकेडियाई,Acadian
अकेडियाई,Acadian
गाँठ,acantha 
बबूल,acacia
कीकर,acacia
झुनझुनाहट,acanthosis 
काँटेदार,लाल रक्त-कोशिका acanthocyte 
अकेंथोसाइटोसिस,acanthocytosis
अकेंथोलाइसिस,acantholysis 
त्वचा-अर्बुद,acanthoma 
त्वचा-अर्बुद,skin tumor 
अकेंथोसिस,acanthosis
अकैप्निया,acapnia 
हाइपोकैप्निया,hypocapnia 
अकैपुल्को,Acapulco
अकैपुल्को,ड ज़्वारिस Acapulco de Juarez
अकैपुल्को,गोल्ड Acapulco gold
मेक्सिकन,ग्रीन Mexican green
कुटकीनाशक,acaricide 
कुटकीनाशक,acaracide 
हृदयहीनता,acardia 
हृदयहीन,acardiac 
अहृदय,acardiac 
अहृदयता,acardia 
यूका,रोग् acariasis
कुटकी,रोग acariosis 
कुटकी,रोग acaridiasis 
कीटभीति,acarophobia 
वाक्यरचना-अक्षमता,acataphasia 
असंबद्धवाक,acataphasia 
